"id","title","content","author"
1,"Qui veut être mon associé, l'émission qui va doper l'entrepreneuriat... et l'investissement ?","Pari gagnant pour M6 qui souhaitait démocratiser l'entrepreneuriat avec un concept résolument original. Qui veut être mon associé a contribué à donner une image positive des entrepreneurs mais aussi des investisseurs.","{\"address\": {\"city\": \"paris\", \"street\": \"4 rue sainte marthe\", \"country\": \"france\"}, \"last_name\": \"HOUNTONDJI\", \"first_name\": \"Adebayo\"}"
2,"Ethique alimentaire : quand le \"bien manger\" change de définition","Au début des années 90, lorsque l’on demandait au grand public ce que représentait pour eux la notion de « bien manger », la grande majorité des réponses étaient liées à la satiété, au plaisir du ventre, au goût, et au plaisir du repas partagé, en famille et entre amis. Près de trente ans plus tard, les attentes ont complètement évoluées, les consommateurs veulent des aliments sains, frais, et bons pour la santé… mais pas que.","{\"address\": {\"city\": \"paris\", \"street\": \"4 rue sainte marthe\", \"country\": \"france\"}, \"last_name\": \"HOUNTONDJI\", \"first_name\": \"Adebayo\"}"
3,"Manque de dynamisme dans les levées françaises, 80 millions d’euros seulement","Chaque semaine, Maddyness dresse le bilan des levées de fonds de la semaine qui vient de s’écouler. Cette semaine, 16 opérations ont permis aux startups françaises de lever tout juste 79,9 millions d’euros.","{\"address\": {\"city\": \"montreuil\", \"street\": \"27 Bis Rue du Progrès\", \"country\": \"france\"}, \"last_name\": \"VILDINA\", \"first_name\": \"Dimitri\"}"
4,"4 startups à découvrir : Edmond, Beesbusy, Comm’une opportunité et Tessan","Saviez-vous qu’il n’est pas possible pour une agence immobilère de recevoir ses honoraires avant que le notaire ne signe l’acte de vente ? Et cette signature n’arrive bien souvent pas avant deux à trois mois après le compromis de vente. Cette situation peut rendre très délicate la gestion de trésorerie des agences immobilières.","{\"address\": {\"city\": \"montreuil\", \"street\": \"27 Bis Rue du Progrès\", \"country\": \"france\"}, \"last_name\": \"VILDINA\", \"first_name\": \"Dimitri\"}"
5,"SXSW : Business France dévoile les 17 pépites qui l’accompagneront à Austin","Présenter la vision de l’industrie culturelle française
Pour soutenir et faire rayonner l’expertise et les idées françaises, Business France, agence nationale dédiée à l’internationalisation des entreprises, a choisi d’embarquer avec elle 17 startups pour les présenter sur le sol américain. Pour cette septième année, ses choix se sont focalisés sur « le caractère innovant des services ou des produits et la capacité des entreprises à utiliser l’événement comme tremplin » , indique l’agence. ","{\"address\": {\"city\": \"paris\", \"street\": \"4 rue sainte marthe\", \"country\": \"france\"}, \"last_name\": \"HOUNTONDJI\", \"first_name\": \"Adebayo\"}"
6,"Grab, futur géant multi-sectoriel ?","Pour devenir « l’application de tous les jours« , Grab a annoncé mardi 25 février 2020 lever 850 millions de dollars auprès des investisseurs japonais Mitsubishi UFJ Financial Group (MUFG) et TIS. La start-up, qui a commencé en lançant des services de mobilité pour les personnes (VTC, covoiturage, taxi, moto-taxi) et de livraisons à domicile en Asie du Sud-Est, s’est diversifiée dans les services financiers.","{\"address\": {\"city\": \"montreuil\", \"street\": \"27 Bis Rue du Progrès\", \"country\": \"france\"}, \"last_name\": \"MOUETTE\", \"first_name\": \"Amandine\"}"
7,"3 informations pour bien commencer la journée : la Green Management School, les data et l’Expérience Lab","Audrey Pulvar, ancienne journaliste et ex-présidente de la fondation Nicolas Hulot, se lance dans l’éducation en ouvrant la Green Management School, une nouvelle branche de la Médiaschool. Cette école privée de l’enseignement supérieur offrait déjà une formation aux métiers de la communication, du numérique et des médias. La Green Management School sera accessible aux étudiants se trouvant dans un cycle équivalant à une première ou deuxième année de master. ","{\"address\": {\"city\": \"montreuil\", \"street\": \"27 Bis Rue du Progrès\", \"country\": \"france\"}, \"last_name\": \"MOUETTE\", \"first_name\": \"Amandine\"}"
8,"6 conseils pour passer de salarié à freelance sereinement","Cette diversité des compétences est applicable à tous les secteurs. Si vous tapez « RH » sur Malt, vous verrez que vous pouvez trouver des experts en paie, des « Head of talent », des « Coachs professionnels », des « responsables administratifs » avec des durées de missions et des rémunérations extrêmement variables.","{\"address\": {\"city\": \"paris\", \"street\": \"4 rue sainte marthe\", \"country\": \"france\"}, \"last_name\": \"HOUNTONDJI\", \"first_name\": \"Adebayo\"}"
9,"Cinq offres d’emploi chez : Ocus, Autobonplan, Wibilong, Tiptoque et Mounki","Le pitch : Wibilong met à la disposition des entreprises une plateforme SaaS qui permet la création et l’activation rapide de communautés de consommateurs directement sollicitables depuis les fiches articles des produits/services. Wibilong remet l’expérience consommateur au centre de la stratégie marketing des entreprises et transforme des clients en prescripteurs.30 collectivités locales partenaires.","{\"address\": {\"city\": \"paris\", \"street\": \"4 rue sainte marthe\", \"country\": \"france\"}, \"last_name\": \"HOUNTONDJI\", \"first_name\": \"Adebayo\"}"
10,"Différentiation, expérience client, tech… quels défis pour l’assurance en 2020 ?","Face à la mutation de l’écosystème assurantiel, l’année qui débute poussera les acteurs à poursuivre leur transformation et à continuer à se réinventer. Dans un contexte économique marqué par la baisse des taux, les enjeux majeurs concerneront la recherche de relais de croissance, la différentiation et l’expérience client. Les nouveaux usages de consommation des produits d’assurance couplés à la connaissance fine des clients sera le point de départ des évolutions pour adapter les offres, les services et la relation client.","{\"address\": {\"city\": \"montreuil\", \"street\": \"27 Bis Rue du Progrès\", \"country\": \"france\"}, \"last_name\": \"VILDINA\", \"first_name\": \"Dimitri\"}"
